,speed,Tsw,Tst,theta,Fundamental Frequency Hip 1,Fundamental Frequency Knee 1,Fundamental Frequency Hip 2,Fundamental Frequency Knee 2,Fundamental Frequency Hip 3,Fundamental Frequency Knee 3,Fundamental Frequency Hip 4,Fundamental Frequency Knee 4
536,4.390243902439024,20.0,390.0,15.0,2.4394839390072964,2.4390243902439024,2.439393918716549,2.4390243902439024,2.4390871742353557,2.43953111828453,2.439695675723981,2.4390243902439024
544,4.33734939759036,20.0,395.0,15.0,2.4096851309459066,2.4096385542168677,2.410015071054755,2.4096385542168677,2.4100868002832336,2.410163541349542,2.4103041078439222,2.4096385542168677
552,4.285714285714286,20.0,400.0,15.0,2.381118850128721,2.380952380952381,2.3816824048076817,2.380952380952381,2.381304776717871,2.3814566823745986,2.3812250220907982,2.380952380952381
560,4.235294117647059,20.0,405.0,15.0,2.353407322058472,2.3529411764705883,2.3535120535151126,2.3529411764705883,2.3529427005416657,2.35346399890694,2.3533981364854797,2.3529411764705883
568,4.186046511627906,20.0,410.0,15.0,2.3258447977371435,2.3255813953488373,2.3258377059449677,2.3255813953488373,2.3258248309094283,2.326062511263894,2.325897107677469,2.3259907482011486
576,4.137931034482758,20.0,415.0,15.0,2.2988513741421124,2.2988505747126435,2.29936689759568,2.2988505747126435,2.2990783964741195,2.299629970620704,2.299331783377047,2.2988505747126435
584,4.090909090909091,20.0,420.0,15.0,2.2730071842329456,2.272727272727273,2.2734611872661743,2.272727272727273,2.2729409289039655,2.2732080927955396,2.272972965693646,2.272727272727273
592,4.044943820224718,20.0,425.0,15.0,2.247656660885522,2.247191011235955,2.247648615071799,2.247191011235955,2.2471920787472444,2.2476900750283475,2.247709848447692,2.247191011235955
600,3.9999999999999996,20.0,430.0,15.0,2.222423718283108,2.2222222222222223,2.222470751173806,2.2222222222222223,2.2225030790957985,2.222681907790543,2.2229227211379605,2.2222222222222223
608,3.9560439560439553,20.0,435.0,15.0,2.1978047544332644,2.197802197802198,2.198311302479312,2.197802197802198,2.1982546683312063,2.198302854893262,2.1982471552651175,2.197802197802198
616,3.913043478260869,20.0,440.0,15.0,2.1741643033278644,2.1739130434782608,2.174413327559716,2.1741118201056553,2.1741352815482515,2.174374369556566,2.1741463449988743,2.1739130434782608
624,3.870967741935483,20.0,445.0,15.0,2.150576782471393,2.150966647121536,2.151026392352861,2.150537634408602,2.150535067196185,2.151016987057537,2.15098843558227,2.150537634408602
632,3.8297872340425525,20.0,450.0,15.0,2.127931271574385,2.127659574468085,2.12789823902976,2.127659574468085,2.12785331672737,2.1281014764935358,2.1283036236207655,2.127659574468085
640,3.7894736842105257,20.0,455.0,15.0,2.1052753684646675,2.1052631578947367,2.105648804039298,2.1052631578947367,2.1056769873271226,2.105722537574021,2.105794366071053,2.1052631578947367
648,3.7499999999999996,20.0,460.0,15.0,2.083448624527027,2.0833333333333335,2.083966214716976,2.0833333333333335,2.083673443535669,2.083778688952498,2.083587502526627,2.0833333333333335
656,3.7113402061855667,20.0,465.0,15.0,2.062229395528018,2.0618556701030926,2.0624686379874584,2.0618556701030926,2.06191393930256,2.0623189010629606,2.062148915000827,2.0618556701030926
664,3.6734693877551017,20.0,470.0,15.0,2.041219422304984,2.0408163265306123,2.041148670386586,2.0408163265306123,2.0408536271620004,2.0412436879925218,2.041361626213792,2.0408163265306123
672,3.6363636363636362,20.0,475.0,15.0,2.0203585452771704,2.0202020202020203,2.020434397262438,2.0202020202020203,2.020479193216543,2.0206467217956594,2.020839038424509,2.0202020202020203
680,3.5999999999999996,20.0,480.0,15.0,1.9999999999999996,2.0,2.000439966581095,2.0,1.9999999999999996,2.0008448179648495,2.000434604172465,2.0
